IDENPA;Country Name;EDAD;Grupo_Edad;SEXO;Sexo_Labels;REEDUC.3;Anos_Estudio_Limpio;P23STM.1;Confianza_TV_Limpia;P23STM.2;Confianza_Redes_Limpia;P23STM.3;Confianza_Otro_Limpia;P30ST.A;P30ST.B;P30ST.C;P30ST.D;P30ST.E;P28ST;P28ST.A;P28ST.B;P28ST.C;P28ST.D;P29ST.A;P29ST.B;P29ST.C;P29ST.D;P29ST.E
32.0;Argentina;83.0;66+;2.0;Mujer;5.0;5.0;1.0;1.0;8.0;8.0;7.0;7.0;-1.0;-1.0;-1.0;-1.0;-1.0;2.0;3.0;1.0;3.0;1.0;3.0;3.0;3.0;-1.0;-1.0
32.0;Argentina;30.0;26-35;2.0;Mujer;-3.0;;8.0;8.0;1.0;1.0;9.0;9.0;3.0;3.0;2.0;2.0;2.0;1.0;2.0;2.0;3.0;1.0;3.0;3.0;2.0;2.0;2.0
32.0;Argentina;59.0;56-65;1.0;Hombre;6.0;6.0;8.0;8.0;1.0;1.0;9.0;9.0;-1.0;-1.0;-1.0;-1.0;-1.0;3.0;3.0;1.0;3.0;3.0;-1.0;-1.0;-1.0;-1.0;-1.0
32.0;Argentina;62.0;56-65;1.0;Hombre;-3.0;;1.0;1.0;2.0;2.0;3.0;3.0;2.0;4.0;3.0;-1.0;-1.0;3.0;3.0;1.0;3.0;2.0;3.0;3.0;-1.0;2.0;3.0
32.0;Argentina;46.0;46-55;2.0;Mujer;5.0;5.0;1.0;1.0;3.0;3.0;8.0;8.0;2.0;-1.0;-1.0;-1.0;-1.0;3.0;2.0;1.0;3.0;2.0;3.0;3.0;2.0;2.0;-1.0
32.0;Argentina;18.0;16-25;1.0;Hombre;4.0;4.0;8.0;8.0;1.0;1.0;9.0;9.0;2.0;3.0;3.0;-1.0;-1.0;1.0;1.0;3.0;2.0;-5.0;1.0;4.0;3.0;1.0;-1.0
32.0;Argentina;39.0;36-45;1.0;Hombre;-3.0;;1.0;1.0;4.0;4.0;7.0;7.0;2.0;3.0;2.0;-1.0;-1.0;3.0;2.0;1.0;3.0;2.0;2.0;3.0;3.0;3.0;4.0
32.0;Argentina;44.0;36-45;2.0;Mujer;6.0;6.0;1.0;1.0;8.0;8.0;7.0;7.0;2.0;3.0;3.0;2.0;2.0;3.0;2.0;1.0;3.0;1.0;3.0;4.0;2.0;3.0;2.0
32.0;Argentina;18.0;16-25;2.0;Mujer;4.0;4.0;4.0;4.0;1.0;1.0;8.0;8.0;2.0;4.0;4.0;-1.0;-1.0;1.0;2.0;3.0;1.0;1.0;1.0;4.0;3.0;2.0;-1.0
32.0;Argentina;36.0;36-45;1.0;Hombre;-3.0;;1.0;1.0;4.0;4.0;8.0;8.0;2.0;3.0;3.0;2.0;1.0;3.0;3.0;1.0;3.0;1.0;4.0;2.0;1.0;1.0;4.0
